terraform_resource,provider_name,azure_resource_type
azurerm_network_interface_application_security_group_association,microsoft.network,"applicationsecuritygroups/securitygroup1"""
azurerm_network_interface_security_group_association,microsoft.network,"networksecuritygroups/group1"""
azurerm_network_manager,microsoft.network,networkmanagers/networkmanager1
azurerm_network_manager_deployment,microsoft.network,networkmanagers/networkmanager1/commit|eastus|connectivity
azurerm_network_manager_management_group_connection,microsoft.network,networkmanagerconnections/networkmanagerconnection1
azurerm_network_manager_subscription_connection,microsoft.network,networkmanagerconnections/networkmanagerconnection1
azurerm_network_profile,microsoft.network,networkprofiles/examplenetprofile
azurerm_network_security_group,microsoft.network,networksecuritygroups/mysecuritygroup
azurerm_network_watcher,microsoft.network,networkwatchers/watcher1
azurerm_notification_hub_namespace,microsoft.notificationhubs,namespaces/namespace1
azurerm_orchestrated_virtual_machine_scale_set,microsoft.compute,virtualmachinescalesets/scaleset1
azurerm_palo_alto_virtual_network_appliance,microsoft.network,networkvirtualappliances/mypanetworkvirtualappliance
azurerm_point_to_site_vpn_gateway,microsoft.network,p2svpngateways/gateway1
azurerm_private_dns_resolver,microsoft.network,dnsresolvers/dnsresolver1
azurerm_private_dns_resolver_dns_forwarding_ruleset,microsoft.network,dnsforwardingrulesets/dnsforwardingruleset1
azurerm_private_dns_zone,microsoft.network,privatednszones/zone1
azurerm_private_endpoint,microsoft.network,privateendpoints/endpoint1
azurerm_private_endpoint_application_security_group_association,microsoft.network,"applicationsecuritygroups/securitygroup1"","
azurerm_private_link_service,microsoft.network,privatelinkservices/service1
azurerm_proximity_placement_group,microsoft.compute,proximityplacementgroups/example-ppg
azurerm_public_ip,microsoft.network,publicipaddresses/mypublicipaddress1
azurerm_public_ip_prefix,microsoft.network,publicipprefixes/mypublicipprefix1
azurerm_recovery_services_vault,microsoft.recoveryservices,vaults/vault1
azurerm_resource_deployment_script_azure_cli,microsoft.resources,deploymentscripts/script1
azurerm_resource_deployment_script_azure_power_shell,microsoft.resources,deploymentscripts/script1
azurerm_resource_group_template_deployment,microsoft.resources,deployments/template1
azurerm_route_filter,microsoft.network,routefilters/routefilter1
azurerm_route_server,microsoft.network,virtualhubs/routeserver1
azurerm_route_table,microsoft.network,routetables/mytable1
azurerm_service_plan,microsoft.web,serverfarms/farm1
azurerm_shared_image_gallery,microsoft.compute,galleries/gallery1
azurerm_snapshot,microsoft.compute,snapshots/snapshot1
azurerm_source_control_token,microsoft.web,sourcecontrols/github
azurerm_ssh_public_key,microsoft.compute,sshpublickeys/mysshpublickeyname1
azurerm_stack_hci_cluster,microsoft.azurestackhci,clusters/cluster1
azurerm_stack_hci_logical_network,microsoft.azurestackhci,logicalnetworks/ln1
azurerm_stack_hci_marketplace_gallery_image,microsoft.azurestackhci,marketplacegalleryimages/image1
azurerm_stack_hci_network_interface,microsoft.azurestackhci,networkinterfaces/ni1
azurerm_stack_hci_storage_path,microsoft.azurestackhci,storagecontainers/storage1
azurerm_stack_hci_virtual_hard_disk,microsoft.azurestackhci,virtualharddisks/disk1
azurerm_static_site,microsoft.web,staticsites/my-static-site1
azurerm_static_web_app,microsoft.web,staticsites/my-static-site1
azurerm_subnet_service_endpoint_storage_policy,microsoft.network,serviceendpointpolicies/policy1
azurerm_subscription_template_deployment,microsoft.resources,deployments/template1
azurerm_synapse_private_link_hub,microsoft.synapse,privatelinkhubs/privatelinkhub1
azurerm_synapse_role_assignment,microsoft.synapse,"workspaces/workspace1|000000000000"""
azurerm_synapse_workspace,microsoft.synapse,workspaces/workspace1
azurerm_tenant_template_deployment,microsoft.resources,deployments/deploy1
azurerm_traffic_manager_profile,microsoft.network,trafficmanagerprofiles/mytrafficmanagerprofile1
azurerm_virtual_hub,microsoft.network,virtualhubs/hub1
azurerm_virtual_hub_security_partner_provider,microsoft.network,securitypartnerproviders/securitypartnerprovider1
azurerm_virtual_machine,microsoft.compute,virtualmachines/machine1
azurerm_virtual_machine_automanage_configuration_assignment,microsoft.automanage,configurationprofileassignments/default
azurerm_virtual_machine_restore_point_collection,microsoft.compute,restorepointcollections/collection1
azurerm_virtual_machine_scale_set,microsoft.compute,virtualmachinescalesets/scaleset1
azurerm_virtual_network,microsoft.network,virtualnetworks/myvnet1
azurerm_virtual_network_gateway,microsoft.network,virtualnetworkgateways/mygateway1
azurerm_virtual_network_gateway_connection,microsoft.network,connections/myconnection1
azurerm_virtual_wan,microsoft.network,virtualwans/testvwan
azurerm_vpn_gateway,microsoft.network,vpngateways/gateway1
azurerm_vpn_server_configuration,microsoft.network,vpnserverconfigurations/config1
